FDM train: iteration: 500, fdm_loss: 0.028438
Background Trial: 2, reward: 164.0
Background Trial: 3, reward: 165.0
Background Trial: 4, reward: 164.0
Background Trial: 5, reward: 169.0
Background Trial: 6, reward: 94.0
Background Trial: 7, reward: 82.0
Background Trial: 8, reward: 163.0
Background Trial: 9, reward: 172.0
Iteration: 6, average_reward: 149.88888888888889, feedback_rate: 0.2903225806451613


episode_reward: 199.0
Background Trial: 1, reward: 200.0
Background Trial: 2, reward: 200.0
Background Trial: 3, reward: 200.0
Background Trial: 4, reward: 200.0
Background Trial: 5, reward: 200.0
Background Trial: 6, reward: 200.0
Background Trial: 7, reward: 200.0
Background Trial: 8, reward: 200.0
Background Trial: 9, reward: 200.0
Iteration: 7, average_reward: 200.0, feedback_rate: 0.45


episode_reward: 200.0
Background Trial: 1, reward: 200.0
Background Trial: 2, reward: 200.0
Background Trial: 3, reward: 200.0
Background Trial: 4, reward: 200.0
Background Trial: 5, reward: 200.0
Background Trial: 6, reward: 200.0
Background Trial: 7, reward: 200.0
Background Trial: 8, reward: 200.0
Background Trial: 9, reward: 200.0
Iteration: 8, average_reward: 200.0, feedback_rate: 0.0

