FDM train: iteration: 500, fdm_loss: 0.037968
Iteration: 7, average_reward: 194.11111111111111, feedback_rate: 0.2549019607843137


episode_reward:  93.0
Background Trial: 1, reward: 99.0
Background Trial: 2, reward: 157.0
Background Trial: 3, reward: 171.0
Background Trial: 4, reward: 188.0
Background Trial: 5, reward: 127.0
Background Trial: 6, reward: 117.0
Background Trial: 7, reward: 101.0
Background Trial: 8, reward: 141.0
Background Trial: 9, reward: 73.0
Iteration: 8, average_reward: 130.44444444444446, feedback_rate: 0.5425531914893617


episode_reward: 200.0
Background Trial: 1, reward: 200.0
Background Trial: 2, reward: 200.0
Background Trial: 3, reward: 200.0
Background Trial: 4, reward: 200.0
Background Trial: 5, reward: 200.0
Background Trial: 6, reward: 200.0
Background Trial: 7, reward: 200.0
Background Trial: 8, reward: 200.0
Background Trial: 9, reward: 200.0
Iteration: 9, average_reward: 200.0, feedback_rate: 0.19900497512437812


episode_reward: 200.0
Background Trial: 1, reward: 200.0
Background Trial: 2, reward: 200.0
Background Trial: 3, reward: 200.0
Background Trial: 4, reward: 200.0
Background Trial: 5, reward: 200.0
Background Trial: 6, reward: 200.0
Background Trial: 7, reward: 200.0
Background Trial: 8, reward: 200.0
Background Trial: 9, reward: 200.0
Iteration: 10, average_reward: 200.0, feedback_rate: 0.014925373134328358


episode_reward: 200.0
Background Trial: 1, reward: 200.0
Background Trial: 2, reward: 200.0
Background Trial: 3, reward: 200.0
Background Trial: 4, reward: 200.0
Background Trial: 5, reward: 200.0
Background Trial: 6, reward: 200.0
Background Trial: 7, reward: 200.0
Background Trial: 8, reward: 200.0
Background Trial: 9, reward: 200.0
Iteration: 11, average_reward: 200.0, feedback_rate: 0.0

